Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
AAP,Advance Auto Parts Inc,160.4,$11.8B,na,Consumer Services,Other Specialty Stores,http//www.nasdaq.com/symbol/aap,
WMS,Advanced Drainage Systems Inc,25.07,$1.36B,2014,Capital Goods,Containers/Packaging,http//www.nasdaq.com/symbol/wms,
ASX,Advanced Semiconductor Engineering Inc,6,$9.33B,na,Technology,Semiconductors,http//www.nasdaq.com/symbol/asx,
APFH,AdvancePierre Foods Holdings Inc,25.89,$1.99B,2016,Consumer Non-Durables,Packaged Foods,http//www.nasdaq.com/symbol/apfh,
AAV,Advantage Oil & Gas Ltd,7.22,$1.33B,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/aav,
AVK,Advent Claymore Convertible Securities and Income Fund,14.84,$349.94M,2003,na,na,http//www.nasdaq.com/symbol/avk,
AGC,Advent Claymore Convertible Securities and Income Fund II,5.76,$185.71M,2007,na,na,http//www.nasdaq.com/symbol/agc,
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.4,$114.27M,2005,na,na,http//www.nasdaq.com/symbol/lcm,
ACM,AECOM,33.44,$5.14B,2007,Consumer Services,Military/Government/Technical,http//www.nasdaq.com/symbol/acm,
ANW,Aegean Marine Petroleum Network Inc.,8.81,$446.63M,2006,Energy,Oil Refining/Marketing,http//www.nasdaq.com/symbol/anw,
AEB,Aegon NV,25.2,na,na,Finance,Life Insurance,http//www.nasdaq.com/symbol/aeb,
AED,Aegon NV,26.08,na,na,Finance,Life Insurance,http//www.nasdaq.com/symbol/aed,
AEG,Aegon NV,4.17,$11.16B,na,Finance,Life Insurance,http//www.nasdaq.com/symbol/aeg,
AEH,Aegon NV,26.13,na,na,Finance,Life Insurance,http//www.nasdaq.com/symbol/aeh,
AEK,Aegon NV,26.87,na,na,Finance,Life Insurance,http//www.nasdaq.com/symbol/aek,
AER,Aercap Holdings N.V.,38.55,$7.24B,2006,Technology,Diversified Commercial Services,http//www.nasdaq.com/symbol/aer,
HIVE,Aerohive Networks Inc,6.78,$343.06M,2014,Technology,EDP Services,http//www.nasdaq.com/symbol/hive,
AJRD,Aerojet Rocketdyne Holdings Inc,17.58,$1.22B,na,Capital Goods,Military/Government/Technical,http//www.nasdaq.com/symbol/ajrd,
AET,Aetna Inc.,118.93,$41.72B,na,Health Care,Medical Specialities,http//www.nasdaq.com/symbol/aet,
AMG,Affiliated Managers Group Inc,141.26,$7.61B,na,Finance,Investment Managers,http//www.nasdaq.com/symbol/amg,
MGR,Affiliated Managers Group Inc,26.48,na,2012,Finance,Investment Managers,http//www.nasdaq.com/symbol/mgr,
AFL,Aflac Incorporated,72.2,$29.57B,na,Finance,Accident &Health Insurance,http//www.nasdaq.com/symbol/afl,
AFSD,Aflac Incorporated,26.76,na,na,Finance,Accident &Health Insurance,http//www.nasdaq.com/symbol/afsd,
MITT,AG Mortgage Investment Trust Inc,15.7,$437.72M,2011,na,na,http//www.nasdaq.com/symbol/mitt,
AGCO,AGCO Corporation,47.6,$3.86B,na,Capital Goods,Industrial Machinery/Components,http//www.nasdaq.com/symbol/agco,
A,Agilent Technologies Inc,48.28,$15.72B,1999,Capital Goods,Biotechnology Laboratory Analytical Instruments,http//www.nasdaq.com/symbol/a,
AEM,Agnico Eagle Mines Limited,58.16,$13.03B,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/aem,
ADC,Agree Realty Corporation,47.83,$1.13B,na,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/adc,
GRO,Agria Corporation,0.85,$47.08M,2007,Consumer Non-Durables,Farming/Seeds/Milling,http//www.nasdaq.com/symbol/gro,
AGU,Agrium Inc.,92.08,$12.72B,na,Basic Industries,Agricultural Chemicals,http//www.nasdaq.com/symbol/agu,
AL,Air Lease Corporation,27.44,$2.82B,2011,Technology,Diversified Commercial Services,http//www.nasdaq.com/symbol/al,
APD,Air Products and Chemicals Inc,152.77,$33.08B,na,Basic Industries,Major Chemicals,http//www.nasdaq.com/symbol/apd,
AYR,Aircastle Limited,20.29,$1.6B,2006,Technology,Diversified Commercial Services,http//www.nasdaq.com/symbol/ayr,
AKS,AK Steel Holding Corporation,5.22,$1.24B,na,Basic Industries,Steel/Iron Ore,http//www.nasdaq.com/symbol/aks,
ALG,Alamo Group Inc,64.85,$745.65M,na,Capital Goods,Industrial Machinery/Components,http//www.nasdaq.com/symbol/alg,
AGI,Alamos Gold Inc.,9.13,$2.42B,2015,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/agi,
ALK,Alaska Air Group Inc,66,$8.12B,na,Transportation,Air Freight/Delivery Services,http//www.nasdaq.com/symbol/alk,
AIN,Albany International Corporation,42.68,$1.37B,na,Basic Industries,Textiles,http//www.nasdaq.com/symbol/ain,
ALB,Albemarle Corporation,81.73,$9.19B,na,Basic Industries,Major Chemicals,http//www.nasdaq.com/symbol/alb,
AA,Alcoa Inc.,10.29,$13.54B,na,Capital Goods,Metal Fabrications,http//www.nasdaq.com/symbol/aa,
ALR,Alere Inc.,40.41,$3.5B,na,Health Care,Biotechnology In Vitro & In Vivo Diagnostic Substances,http//www.nasdaq.com/symbol/alr,
ALEX,Alexander & Baldwin Holdings Inc,41.08,$2.01B,na,Finance,Real Estate,http//www.nasdaq.com/symbol/alex,
ALX,Alexander's Inc,439.32,$2.24B,na,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/alx,
ARE,Alexandria Real Estate Equities Inc,109.84,$8.56B,na,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/are,
BABA,Alibaba Group Holding Limited,96.66,$241.65B,2014,Miscellaneous,Business Services,http//www.nasdaq.com/symbol/baba,
Y,Alleghany Corporation,523.38,$8.08B,na,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/y,
ATI,Allegheny Technologies Incorporated,17.69,$1.93B,na,Basic Industries,Steel/Iron Ore,http//www.nasdaq.com/symbol/ati,
ALLE,Allegion plc,72.23,$6.93B,2013,Consumer Services,Diversified Commercial Services,http//www.nasdaq.com/symbol/alle,
AGN,Allergan plc.,253.19,$100.25B,2013,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/agn,
ALE,Allete Inc,59.42,$2.93B,na,Public Utilities,Power Generation,http//www.nasdaq.com/symbol/ale,
AKP,Alliance California Municipal Income Fund Inc,15.43,$132M,2002,na,na,http//www.nasdaq.com/symbol/akp,
ADS,Alliance Data Systems Corporation,211.85,$12.4B,2001,Miscellaneous,Business Services,http//www.nasdaq.com/symbol/ads,
AFB,Alliance National Municipal Income Fund Inc,14.76,$424.28M,2002,na,na,http//www.nasdaq.com/symbol/afb,
AOI,Alliance One International Inc,18.08,$175.53M,na,Consumer Services,Farming/Seeds/Milling,http//www.nasdaq.com/symbol/aoi,
AWF,Alliance World Dollar Government Fund II,12.66,$1.09B,1993,na,na,http//www.nasdaq.com/symbol/awf,
AB,AllianceBernstein Holding L.P.,21.86,$2.11B,na,Finance,Investment Managers,http//www.nasdaq.com/symbol/ab,
LNT,Alliant Energy Corporation,38.2,$8.68B,na,Public Utilities,Power Generation,http//www.nasdaq.com/symbol/lnt,
NCV,AllianzGI Convertible & Income Fund,6.7,$590.2M,2003,na,na,http//www.nasdaq.com/symbol/ncv,
NCZ,AllianzGI Convertible & Income Fund II,5.8,$431.7M,2003,na,na,http//www.nasdaq.com/symbol/ncz,
ACV,AllianzGI Diversified Income & Convertible Fund,18.98,$195.02M,2015,na,na,http//www.nasdaq.com/symbol/acv,
NIE,AllianzGI Equity & Convertible Income Fund,19.21,$532.29M,2007,na,na,http//www.nasdaq.com/symbol/nie,
NFJ,AllianzGI NFJ Dividend Interest & Premium Strategy Fund,12.76,$1.21B,2005,Finance,Finance Consumer Services,http//www.nasdaq.com/symbol/nfj,
AWH,Allied World Assurance Company Holdings AG,40,$3.78B,2006,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/awh,
ALSN,Allison Transmission Holdings Inc,28.27,$4.74B,2012,Capital Goods,Auto PartsO.E.M.,http//www.nasdaq.com/symbol/alsn,
ALL,Allstate Corporation (The),68.95,$25.61B,na,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/all,
ALLY,Ally Financial Inc.,19.5,$9.43B,2014,Finance,Finance Consumer Services,http//www.nasdaq.com/symbol/ally,
ALJ,Alon USA Energy Inc,7.49,$534.87M,2005,Energy,Integrated oil Companies,http//www.nasdaq.com/symbol/alj,
ALDW,Alon USA Partners LP,10.15,$634.58M,2012,Energy,Integrated oil Companies,http//www.nasdaq.com/symbol/aldw,
AGD,Alpine Global Dynamic Dividend Fund,8.89,$111.57M,2006,na,na,http//www.nasdaq.com/symbol/agd,
AWP,Alpine Global Premier Properties Fund,5.77,$492.8M,2007,na,na,http//www.nasdaq.com/symbol/awp,
AOD,Alpine Total Dynamic Dividend Fund,7.82,$841.38M,2007,na,na,http//www.nasdaq.com/symbol/aod,
RESI,Altisource Residential Corporation,10.61,$577.88M,na,Finance,Real Estate,http//www.nasdaq.com/symbol/resi,
MO,Altria Group,66.26,$129.46B,na,Consumer Non-Durables,Farming/Seeds/Milling,http//www.nasdaq.com/symbol/mo,
ACH,Aluminum Corporation of China Limited,9.14,$5.45B,2001,Basic Industries,Aluminum,http//www.nasdaq.com/symbol/ach,
AMBR,Amber Road Inc,10.37,$274.4M,2014,Technology,Computer Software Prepackaged Software,http//www.nasdaq.com/symbol/ambr,
ABEV,Ambev S.A.,6.28,$98.59B,2013,Consumer Non-Durables,Beverages (Production/Distribution),http//www.nasdaq.com/symbol/abev,
AMC,AMC Entertainment Holdings Inc,29.75,$2.9B,2013,Consumer Services,Movies/Entertainment,http//www.nasdaq.com/symbol/amc,
AMFW,Amec Plc Ord,6.89,$2.71B,2014,Consumer Services,Military/Government/Technical,http//www.nasdaq.com/symbol/amfw,
AEE,Ameren Corporation,49.82,$12.09B,na,Public Utilities,Power Generation,http//www.nasdaq.com/symbol/aee,
AMRC,Ameresco Inc,4.83,$224.84M,2010,Basic Industries,Engineering & Construction,http//www.nasdaq.com/symbol/amrc,
AMX,America Movil S.A.B. de C.V.,12.23,$40.36B,na,Public Utilities,Telecommunications Equipment,http//www.nasdaq.com/symbol/amx,
AAT,American Assets Trust Inc,44.51,$2.02B,2011,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/aat,
AXL,American Axle & Manufacturing Holdings Inc,17.75,$1.36B,na,Capital Goods,Auto PartsO.E.M.,http//www.nasdaq.com/symbol/axl,
ACC,American Campus Communities Inc,50.35,$6.57B,2004,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/acc,
AEO,American Eagle Outfitters Inc,18.96,$3.43B,na,Consumer Services,Clothing/Shoe/Accessory Stores,http//www.nasdaq.com/symbol/aeo,
AEP,American Electric Power Company Inc,65.68,$32.3B,na,Public Utilities,Electric Utilities Central,http//www.nasdaq.com/symbol/aep,
AEL,American Equity Investment Life Holding Company,16.18,$1.42B,2003,Finance,Life Insurance,http//www.nasdaq.com/symbol/ael,
AXP,American Express Company,65.3,$60.32B,na,Finance,Finance Consumer Services,http//www.nasdaq.com/symbol/axp,
AFA,American Financial Group Inc,25.719,na,2012,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/afa,
AFG,American Financial Group Inc,73.61,$6.4B,na,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/afg,
AFGE,American Financial Group Inc,27.23,na,2014,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/afge,
AFGH,American Financial Group Inc,27.39,na,2015,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/afgh,
AFW,American Financial Group Inc,26.37,na,na,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/afw,
AMH,American Homes 4 Rent,22.39,$5.34B,2013,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/amh,
AIG,American International Group Inc,59.31,$63.5B,na,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/aig,
AMID,American Midstream Partners LP,12.15,$378.53M,2011,Public Utilities,Natural Gas Distribution,http//www.nasdaq.com/symbol/amid,
ARL,American Realty Investors Inc,6.32,$98.05M,na,Finance,Real Estate,http//www.nasdaq.com/symbol/arl,
ARA,American Renal Associates Holdings Inc,23.59,$728.18M,2016,Health Care,Hospital/Nursing Management,http//www.nasdaq.com/symbol/ara,
AWR,American States Water Company,40.02,$1.46B,na,Public Utilities,Water Supply,http//www.nasdaq.com/symbol/awr,
AMT,American Tower Corporation (REIT),114.12,$48.56B,na,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/amt,
AVD,American Vanguard Corporation,17.08,$501.27M,na,Basic Industries,Agricultural Chemicals,http//www.nasdaq.com/symbol/avd,
AWK,American Water Works,75.53,$13.44B,2008,Public Utilities,Water Supply,http//www.nasdaq.com/symbol/awk,
APU,AmeriGas Partners LP,45.1,$4.19B,na,Consumer Services,Other Specialty Stores,http//www.nasdaq.com/symbol/apu,
AMP,AMERIPRISE FINANCIAL SERVICES Inc,96.54,$15.58B,na,Finance,Investment Managers,http//www.nasdaq.com/symbol/amp,
ABC,AmerisourceBergen Corporation (Holding Co),89.46,$19.21B,na,Health Care,Other Pharmaceuticals,http//www.nasdaq.com/symbol/abc,
ANFI,Amira Nature Foods Ltd,8.07,$290.24M,2012,Consumer Non-Durables,Packaged Foods,http//www.nasdaq.com/symbol/anfi,
AHS,AMN Healthcare Services Inc,34.35,$1.65B,2001,Technology,Professional Services,http//www.nasdaq.com/symbol/ahs,
AP,Ampco-Pittsburgh Corporation,12.66,$155.35M,na,Capital Goods,Fluid Controls,http//www.nasdaq.com/symbol/ap,
APH,Amphenol Corporation,59.84,$18.47B,na,Capital Goods,Electrical Products,http//www.nasdaq.com/symbol/aph,
BETR,Amplify Snack Brands Inc.,15.48,$1.16B,2015,Consumer Non-Durables,Packaged Foods,http//www.nasdaq.com/symbol/betr,
AXR,AMREP Corporation,5.68,$45.85M,na,Consumer Services,Newspapers/Magazines,http//www.nasdaq.com/symbol/axr,
AME,AMTEK Inc,48.38,$11.24B,na,Consumer Durables,Metal Fabrications,http//www.nasdaq.com/symbol/ame,
AFSS,AmTrust Financial Services Inc,26.25,na,2015,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/afss,
AFST,AmTrust Financial Services Inc,27.37,na,2015,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/afst,
AEUA,Anadarko Petroleum Corporation,37.85,na,2015,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/aeua,
APC,Anadarko Petroleum Corporation,54.15,$27.64B,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/apc,
AU,AngloGold Ashanti Limited,20.16,$8.11B,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/au,
BUD,Anheuser-Busch Inbev SA,126,$202.61B,na,Consumer Non-Durables,Beverages (Production/Distribution),http//www.nasdaq.com/symbol/bud,
AXE,Anixter International Inc.,62.74,$2.07B,na,Consumer Non-Durables,Telecommunications Equipment,http//www.nasdaq.com/symbol/axe,
NLY,Annaly Capital Management Inc,10.83,$10.78B,na,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/nly,
AM,Antero Midstream Partners LP,26.58,$4.68B,2014,Public Utilities,Natural Gas Distribution,http//www.nasdaq.com/symbol/am,
AR,Antero Resources Corporation,27.6,$8.48B,2013,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/ar,
ANTM,Anthem Inc,129.33,$34.04B,na,Health Care,Medical Specialities,http//www.nasdaq.com/symbol/antm,
ANTX,Anthem Inc,43.91,$11.56B,2015,Health Care,Medical Specialities,http//www.nasdaq.com/symbol/antx,
ANH,Anworth Mortgage Asset  Corporation,4.91,$471.06M,na,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/anh,
AON,Aon plc,109.17,$29B,na,Finance,Specialty Insurers,http//www.nasdaq.com/symbol/aon,
APA,Apache Corporation,50.97,$19.34B,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/apa,
AIV,Apartment Investment and Management Company,44.61,$6.99B,1994,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/aiv,
ARI,Apollo Commercial Real Estate Finance,16.24,$1.09B,2009,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/ari,
APO,Apollo Global Management LLC,18.55,$7.43B,2011,Finance,Investment Managers,http//www.nasdaq.com/symbol/apo,
AIB,Apollo Investment Corporation,25.91,na,na,na,na,http//www.nasdaq.com/symbol/aib,
AIY,Apollo Investment Corporation,26.66,na,2013,na,na,http//www.nasdaq.com/symbol/aiy,
AMTG,Apollo Residential Mortgage Inc,13.64,$435.05M,2011,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/amtg,
AFT,Apollo Senior Floating Rate Fund Inc.,16.39,$255.24M,2011,na,na,http//www.nasdaq.com/symbol/aft,
AIF,Apollo Tactical Income Fund Inc.,15.0799,$218.12M,2013,na,na,http//www.nasdaq.com/symbol/aif,
APLE,Apple Hospitality REIT Inc,19.79,$3.46B,2015,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/aple,
AIT,Applied Industrial Technologies Inc,45.84,$1.79B,na,Consumer Durables,Industrial Specialties,http//www.nasdaq.com/symbol/ait,
ATR,AptarGroup Inc,75.16,$4.73B,na,Consumer Non-Durables,Plastic Products,http//www.nasdaq.com/symbol/atr,
WTR,Aqua America Inc,31.26,$5.54B,na,Public Utilities,Water Supply,http//www.nasdaq.com/symbol/wtr,
ARMK,Aramark,37.28,$9.09B,2013,Consumer Services,Restaurants,http//www.nasdaq.com/symbol/armk,
ABR,Arbor Realty Trust,7.29,$374.57M,2004,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/abr,
ABRN,Arbor Realty Trust,25.3401,na,2014,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/abrn,
ARC,ARC Document Solutions Inc,3.1,$146.91M,2004,Consumer Services,Professional Services,http//www.nasdaq.com/symbol/arc,
ARCX,Arc Logistic Partners LP,14.91,$287.7M,2013,Energy,Oil Refining/Marketing,http//www.nasdaq.com/symbol/arcx,
MT,ArcelorMittal,6.4,$19.56B,na,Basic Industries,Steel/Iron Ore,http//www.nasdaq.com/symbol/mt,
ADM,Archer-Daniels-Midland Company,43.47,$25.29B,na,Consumer Non-Durables,Packaged Foods,http//www.nasdaq.com/symbol/adm,
AROC,Archrock Inc,11.58,$806.32M,na,Technology,Diversified Commercial Services,http//www.nasdaq.com/symbol/aroc,
ARCO,Arcos Dorados Holdings Inc.,5.65,$1.19B,2011,Consumer Services,Restaurants,http//www.nasdaq.com/symbol/arco,
ASC,Ardmore Shipping Corporation,7.86,$263.23M,2013,Transportation,Marine Transportation,http//www.nasdaq.com/symbol/asc,
AFC,Ares Capital Corporation,25.7856,$206.28M,na,na,na,http//www.nasdaq.com/symbol/afc,
ARU,Ares Capital Corporation,25.97,na,na,na,na,http//www.nasdaq.com/symbol/aru,
ACRE,Ares Commercial Real Estate Corporation,12.44,$354.7M,2012,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/acre,
ARDC,Ares Dynamic Credit Allocation Fund Inc,14.45,$339.3M,2012,na,na,http//www.nasdaq.com/symbol/ardc,
ARES,Ares Management L.P.,17.96,$1.45B,2014,Finance,Investment Managers,http//www.nasdaq.com/symbol/ares,
AGX,Argan Inc,46.29,$687.8M,na,Basic Industries,Engineering & Construction,http//www.nasdaq.com/symbol/agx,
ANET,Arista Networks Inc,77.6,$5.37B,2014,Technology,Computer Communications Equipment,http//www.nasdaq.com/symbol/anet,
AI,Arlington Asset Investment Corp,14.53,$333.9M,na,Finance,Finance/Investors Services,http//www.nasdaq.com/symbol/ai,
AIC,Arlington Asset Investment Corp,23.0403,na,2015,Finance,Finance/Investors Services,http//www.nasdaq.com/symbol/aic,
AIW,Arlington Asset Investment Corp,23.5084,na,na,Finance,Finance/Investors Services,http//www.nasdaq.com/symbol/aiw,
AHH,Armada Hoffler Properties Inc,13.94,$467.02M,2013,Finance,Real Estate,http//www.nasdaq.com/symbol/ahh,
ARR,ARMOUR Residential REIT Inc,21.97,$806.37M,na,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/arr,
AFI,Armstrong Flooring Inc,18.25,$507.22M,2016,Consumer Non-Durables,Plastic Products,http//www.nasdaq.com/symbol/afi,
AWI,Armstrong World Industries Inc,45.51,$2.53B,na,Consumer Non-Durables,Plastic Products,http//www.nasdaq.com/symbol/awi,
ARW,Arrow Electronics Inc,65.8,$6.01B,na,Consumer Non-Durables,Electronic Components,http//www.nasdaq.com/symbol/arw,
AJG,Arthur J. Gallagher & Co.,48.77,$8.63B,na,Finance,Specialty Insurers,http//www.nasdaq.com/symbol/ajg,
APAM,Artisan Partners Asset Management Inc.,26.83,$2B,2013,Finance,Investment Managers,http//www.nasdaq.com/symbol/apam,
ASA,ASA Gold and Precious Metals Limited,16.63,$320.79M,na,na,na,http//www.nasdaq.com/symbol/asa,
ABG,Asbury Automotive Group Inc,55.94,$1.24B,2002,Consumer Durables,Automotive Aftermarket,http//www.nasdaq.com/symbol/abg,
AHP,Ashford Hospitality Prime Inc,15.57,$399.28M,2013,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/ahp,
AHT,Ashford Hospitality Trust Inc,7.14,$686.7M,2003,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/aht,
ASH,Ashland Inc.,114.1,$7.09B,na,Consumer Durables,Specialty Chemicals,http//www.nasdaq.com/symbol/ash,
APB,Asia Pacific Fund Inc (The),10.46,$108.2M,na,na,na,http//www.nasdaq.com/symbol/apb,
GRR,Asia Tigers Fund Inc (The),9.96,$34.74M,na,na,na,http//www.nasdaq.com/symbol/grr,
ASPN,Aspen Aerogels Inc,4.91,$114.45M,2014,Consumer Services,RETAIL Building Materials,http//www.nasdaq.com/symbol/aspn,
AHL,Aspen Insurance Holdings Limited,45.09,$2.71B,2003,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/ahl,
ASB,Associated Banc-Corp,19.44,$2.92B,na,Finance,Major Banks,http//www.nasdaq.com/symbol/asb,
AC,Associated Capital Group Inc,31.62,$804.04M,2015,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/ac,
AIZ,Assurant Inc,85.19,$5.13B,2004,Finance,Accident &Health Insurance,http//www.nasdaq.com/symbol/aiz,
AGO,Assured Guaranty Ltd.,27.46,$3.63B,2004,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/ago,
AF,Astoria Financial Corporation,14.73,$1.49B,na,Finance,Savings Institutions,http//www.nasdaq.com/symbol/af,
AZN,Astrazeneca PLC,33.55,$84.88B,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/azn,
HOME,At Home Group Inc.,15.29,$909.81M,2016,Consumer Services,Home Furnishings,http//www.nasdaq.com/symbol/home,
T,AT&T Inc.,41.96,$258.14B,na,Public Utilities,Telecommunications Equipment,http//www.nasdaq.com/symbol/t,
ATTO,Atento S.A.,9.92,$731.61M,2014,Public Utilities,Telecommunications Equipment,http//www.nasdaq.com/symbol/atto,
ATKR,Atkore International Group Inc.,17.79,$1.11B,2016,Miscellaneous,Industrial Machinery/Components,http//www.nasdaq.com/symbol/atkr,
AT,Atlantic Power Corporation,2.5,$303.19M,na,Energy,Electric Utilities Central,http//www.nasdaq.com/symbol/at,
ATO,Atmos Energy Corporation,74.28,$7.71B,na,Public Utilities,Oil/Gas Transmission,http//www.nasdaq.com/symbol/ato,
ATW,Atwood Oceanics Inc,8.97,$581.26M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/atw,
AUO,AU Optronics Corp,4.05,$3.9B,2002,Technology,Semiconductors,http//www.nasdaq.com/symbol/auo,
ATHM,Autohome Inc.,26.26,$2.97B,2013,Technology,EDP Services,http//www.nasdaq.com/symbol/athm,
ALV,Autoliv Inc,104.98,$9.26B,na,Capital Goods,Auto PartsO.E.M.,http//www.nasdaq.com/symbol/alv,
AN,AutoNation Inc,48.87,$4.99B,na,Consumer Durables,Automotive Aftermarket,http//www.nasdaq.com/symbol/an,
AZO,AutoZone Inc,789.54,$23.08B,na,Consumer Services,Other Specialty Stores,http//www.nasdaq.com/symbol/azo,
